lsoa_code,lsoa_name,area_km2,infra_metres,infra_density_m_per_km2,imd_score,imd_rank,imd_decile,imd_quintile,total_workers,active_travel_count,active_travel_pct,cycling_pct,walking_pct,log_infra_density,borough
E01005102,Manchester 001D,0.18484546686447717,831.8997748716246,4500.514884043909,32.183,7009,3,2,647,54,8.35,1.39,6.96,8.412169260006223,Manchester
E01005103,Manchester 001E,0.38778251831212684,639.2389346836835,1648.4470147495379,58.472,1065,1,1,681,66,9.69,1.91,7.78,7.408195368145765,Manchester
E01005104,Manchester 004A,0.5267515181940154,11.306512790012851,21.46460408652944,46.046,2842,1,1,831,47,5.66,1.56,4.09,3.111940918798139,Manchester
E01005105,Manchester 015C,0.5554699367125031,508.80449255771885,915.9892532961021,38.129,4832,2,1,1269,145,11.43,2.52,8.9,6.821095752772418,Manchester
E01005106,Manchester 015D,1.0400604423689332,99.29375678992687,95.46921769639337,52.538,1799,1,1,845,134,15.86,3.31,12.54,4.5692239698554316,Manchester
E01005107,Manchester 015E,0.7235124150840672,1815.9773612733077,2509.9463719116743,59.049,1003,1,1,705,73,10.35,1.13,9.22,7.828415001666144,Manchester
E01005111,Manchester 047B,0.1954251188418297,0.0,0.0,35.758,5619,2,1,669,64,9.57,3.14,6.43,0.0,Manchester
E01005112,Manchester 048D,0.752354132113634,3179.908531639852,4226.6113734317405,44.626,3130,1,1,713,73,10.24,2.1,8.13,8.349392425412523,Manchester
E01005113,Manchester 047C,0.31587469549706465,779.4174252225496,2467.489280823992,57.644,1148,1,1,655,94,14.35,4.12,10.23,7.811361615305042,Manchester
E01005114,Manchester 047D,0.5643529090778107,727.5682072097326,1289.2078617945397,17.23,16790,6,3,791,41,5.18,1.01,4.17,7.162558617549224,Manchester
E01005115,Manchester 044A,0.2960973626893099,180.35584893909814,609.1099471505343,31.636,7234,3,2,816,67,8.21,2.94,5.27,6.413639182156242,Manchester
E01005116,Manchester 047E,0.46852119652389246,886.147493006676,1891.3711899937198,28.085,8987,3,2,1073,84,7.83,2.24,5.59,7.545585919583676,Manchester
E01005117,Manchester 048E,0.9678662930950758,2525.6139434379493,2609.465751060981,56.446,1293,1,1,965,116,12.02,4.15,7.88,7.867283933079035,Manchester
E01005118,Manchester 034A,0.23861539953737687,0.0,0.0,27.777,9160,3,2,590,57,9.66,3.56,6.1,0.0,Manchester
E01005119,Manchester 041A,0.2950404348038233,876.0764867274872,2969.34380302823,47.863,2505,1,1,684,70,10.23,2.49,7.75,7.9964329836926,Manchester
E01005120,Manchester 034B,0.1913325785450306,0.0,0.0,28.95,8514,3,2,805,78,9.69,3.11,6.58,0.0,Manchester
E01005179,Manchester 030B,0.2799912993151744,451.89590930210016,1613.9641139113396,29.603,8197,3,2,1101,119,10.81,5.54,5.27,7.387068014921543,Manchester
E01005234,Manchester 063A,0.1896079986800793,0.0,0.0,46.204,2821,1,1,684,108,15.79,2.49,13.3,0.0,Manchester
E01005289,Manchester 049D,0.20173861189477163,0.0,0.0,64.222,576,1,1,565,78,13.81,2.65,11.15,0.0,Manchester
E01005290,Manchester 052A,0.2975574585886897,0.0,0.0,56.023,1351,1,1,669,97,14.5,3.44,11.06,0.0,Manchester
E01005291,Manchester 050E,0.39997317754807854,1138.7076043547327,2846.9599170005717,61.348,799,1,1,568,104,18.31,4.75,13.56,7.954358198345948,Manchester
E01005292,Manchester 052B,0.2926269860912141,0.0,0.0,56.613,1268,1,1,621,74,11.92,3.7,8.21,0.0,Manchester
E01005293,Manchester 052C,0.2866291316687391,86.07239845699863,300.2918717852922,25.112,10694,4,2,620,62,10.0,2.9,7.1,5.708079468624315,Manchester
E01005294,Manchester 052D,0.41233539209475417,77.18062638365956,187.17924258590818,27.375,9359,3,2,725,43,5.93,2.07,3.86,5.2373949266258295,Manchester
E01005295,Manchester 049E,0.9332804283660507,435.8924309638364,467.05407904779383,23.014,12039,4,2,1391,104,7.48,1.22,6.25,6.14858384276278,Manchester
E01005296,Manchester 029E,0.20858602610742324,818.6848120362062,3924.9264551143892,20.304,14078,5,3,786,80,10.18,5.85,4.33,8.275357641883154,Manchester
E01005297,Manchester 028A,0.31586002662923185,0.0,0.0,32.624,6827,3,2,1222,173,14.16,8.1,6.06,0.0,Manchester
E01005298,Manchester 028B,0.15742785899092548,534.5449266414988,3395.491306734415,24.837,10866,4,2,838,93,11.1,6.32,4.77,8.130498209150506,Manchester
E01005299,Manchester 029F,0.2718618992329942,0.0,0.0,22.974,12075,4,2,764,66,8.64,3.4,5.24,0.0,Manchester
